Ricardo Darín,16
Leonardo Sbaraglia,7
Valeria Bertuccelli,7
Alejandro Awada,6
Arturo Goetz,6
Inés Efron,6
Pablo Echarri,6
Rafael Spregelburd,6
Rodrigo de la Serna,6
Adrián Suar,5
